Breed,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,grooming_frequency_value,shedding_value,energy_level_value,trainability_value,demeanor_value,Cluster
Azawakh,of,59.69,73.66,14.96854821,24.94758035,12,15,0.4,0.4,0.6,0.4,0.8,4
Ibizan Hound,152,57.15,69.85,20.41165665,22.6796185,11,14,0.2,0.4,1,0.4,0.4,4
American Water Spaniel,166,38.1,45.72,11.33980925,20.41165665,10,14,0.6,0.2,0.6,1,0.8,5
Boykin Spaniel,100,35.56,45.72,11.33980925,18.1436948,10,15,0.6,0.6,0.6,1,0.6,5
Clumber Spaniel,143,43.18,50.8,24.94758035,38.55535145,10,12,0.4,0.8,0.6,0.6,0.4,5
Field Spaniel,149,43.18,45.72,15.87573295,22.6796185,12,13,0.4,0.8,0.6,0.6,0.4,5
Irish Water Spaniel,159,53.34,60.96,20.41165665,30.84428116,12,13,0.4,0.6,1,0.8,0.4,5
Welsh Springer Spaniel,128,43.18,48.26,15.87573295,24.94758035,12,15,0.4,,0.8,0.8,0.8,5
Anatolian Shepherd Dog,90,68.58,73.66,36.2873896,68.0388555,11,13,0.4,0.6,0.6,0.4,0.4,6
Australian Shepherd,17,45.72,58.42,18.1436948,29.48350405,12,15,0.4,0.6,0.8,1,0.6,6
Belgian Laekenois,,55.88,66.04,24.94758035,29.48350405,10,12,0.4,0.8,0.8,0.8,0.4,6
Bergamasco Sheepdog,187,55.88,59.69,25.85476509,38.10175908,13,15,0.2,0.2,0.4,0.6,0.4,6
Caucasian Shepherd Dog,,58.42,76.2,44.90564463,77.1107029,10,12,0.6,0.8,0.4,0.4,0.2,6
Central Asian Shepherd Dog,,64.77,69.85,39.91612856,49.8951607,,,0.2,0.6,0.4,0.4,0.2,6
Croatian Sheepdog,,40.64,50.8,13.15417873,19.95806428,13,14,0.2,0.4,1,1,0.4,6
Dutch Shepherd,,54.61,62.23,19.05087954,34.01942775,11,14,0.4,0.6,1,0.6,0.6,6
Miniature American Shepherd,34,33.02,45.72,9.0718474,18.1436948,12,13,0.8,1,0.8,1,0.8,6
Romanian Mioritic Shepherd Dog,,57.15,73.66,45.359237,58.9670081,12,14,0.4,0.4,0.6,0.4,0.2,6
